ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Source
Mawe,MAWE,sate1243,,,,,,,,
Aweti,AWETI,awet1244,,,,,,,,
Asurini,Asurini,toca1235,,,,,,,,
Parakana,Parakanã,para1312,,,,,,,,
Surui,Suruí,suru1262,,,,,,,,
Tapirape,Tapirapé,tapi1254,,,,,,,,
Tembe,Tembé,temb1276,,,,,,,,
Apiaka,Apiaká,apia1248,,,,,,,,
Guajajara,Guajajara,guaj1255,,,,,,,,
Amonda,Amonda,amun1246,,,,,,,,
Tenharim,Tenharim,,,,,,,,,
Parintintin,Parintintin,tenh1241,,,,,,,,
Urueuwauwau,Urueuwauwau,urue1240,,,,,,,,
Kayabi,Kayabí,kaya1329,,,,,,,,
AsuriniXingu,Asurini Xingu,xing1248,,,,,,,,
Arawete,Araweté,araw1273,,,,,,,,
Kamayura,Kamayura,kama1373,,,,,,,,
Guaja,Guajá,guaj1256,,,,,,,,
Emerillon,Emerillon,emer1243,,,,,,,,
WayampiJ,Wayampí J,,,,,,,,,
Wayampi,Wayampí,waya1270,,,,,,,,
UrubuKaapor,UrubuKaapor,urub1250,,,,,,,,
Anambe,Anambé,anam1249,,,,,,,,
AvaCanoeiro,AvaCanoeiro,avac1239,,,,,,,,
Tupi,Tupí,tupi1273,,,,,,,,
Nheengatu,Nheengatu,nhen1239,,,,,,,,
Kokama,Kokama,coca1259,,,,,,,,
Omagua,Omagua,omag1248,,,,,,,,
Yuki,Yuki,yuqu1240,,,,,,,,
Guarayo,Guarayo,guar1292,,,,,,,,
Siriono,Sirionó,siri1273,,,,,,,,
Warazu,Warazu,paus1244,,,,,,,,
Chiriguano,Chiriguano,east2555,,,,,,,,
GuaraniMbya,GuaraniMbya,mbya1239,,,,,,,,
GuaraniParaguay,Guarani Paraguay,para1311,,,,,,,,
GuaraniAntigo,Guarani Antigo,,,,,,,,,
Guayaki,Guayaki,ache1246,,,,,,,,
Xeta,Xeta,xeta1241,,,,,,,,
