ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_all,ALL,98,ALL,1
2_arm,ARM,1673,ARM,2
3_arrow,ARROW,977,ARROW,3
4_ash,ASH,646,ASH,4
5_axe,AXE,677,AXE,5
6_back,BACK,1291,BACK,6
7_badevil,BAD/EVIL,3764,BAD OR EVIL,7
8_bamboo,BAMBOO,1927,BAMBOO,8
9_banana,BANANA,868,BANANA,9
10_basket,BASKET,1539,BASKET,10
11_bat,BAT,1793,BAT,11
12_bewrong,BE_WRONG,1390,WRONG,12
13_beans,BEANS,832,BEAN,13
14_beard,BEARD,678,BEARD,14
15_belly,BELLY,1251,BELLY,15
16_break,BREAK,3020,BREAK (BREAKING),16
17_big,BIG,1202,BIG,17
18_bird,BIRD,937,BIRD,18
19_bite,BITE,1403,BITE,19
20_black,BLACK,163,BLACK,20
21_blow,BLOW,176,BLOW (WITH MOUTH),21
22_bone,BONE,1394,BONE,22
23_boy,BOY,1366,BOY,23
24_branch,BRANCH,1531,BRANCH,24
25_breast,BREAST,1402,BREAST,25
26_breathe,BREATHE,1407,BREATHE,26
27_burnintr,BURN_intr,1428,BURNING,27
28_burntr,BURN_tr,141,BURN (SOMETHING),28
29_bury,BURY,1719,BURY,29
30_bush,BUSH,201,FARM,30
31_butterfly,BUTTERFLY,1791,BUTTERFLY,31
32_cair,CAIR,,,32
33_canoe,CANOE,1970,CANOE,33
34_cashew,CASHEW,2441,CASHEW,34
35_cloud,CLOUD,1489,CLOUD,35
36_coati,COATI,2389,COATI (COATIMUNDI),36
37_come,COME,1446,COME,37
38_comb,COMB,1475,COMB,38
39_corn,CORN,506,MAIZE,39
40_cotton,COTTON,1850,COTTON,40
41_cry,CRY,1839,CRY,41
42_cut,CUT,1432,CUT,42
43_dance,DANCE,1879,DANCE,43
44_day,DAY,1260,DAY (24 HOURS),44
45_defecate,DEFECATE,676,SHIT (DEFECATE),45
46_die,DIE,1494,DIE,46
47_dirty,DIRTY,1230,DIRTY,47
48_domake,DO/MAKE,2575,DO OR MAKE,48
49_drawpaint,DRAW/PAINT,3122,PAINT (SOMETHING),49
50_dressup,DRESS_UP,814,DRESS UP,50
51_dry,DRY,1786,DRY UP,51
52_drystate,DRY (state),1398,DRY,52
53_earthland,EARTH/LAND,3603,EARTH OR LAND,53
54_eat,EAT,1336,EAT,54
55_enter,ENTER,749,ENTER,55
56_eye,EYE,1248,EYE,56
57_face,FACE,1560,FACE,57
58_far,FAR,1406,FAR,58
59_fatgrease,FAT/GREASE,1282,FAT (FROM ANIMALS),59
60_father,FATHER,1217,FATHER,60
61_fear,FEAR,1419,FEAR (BE AFRAID),61
62_finger,FINGER,1303,FINGER,62
63_fire,FIRE,221,FIRE,63
64_firefly,FIREFLY,206,FIREFLY,64
65_firewood,FIREWOOD,10,FIREWOOD,65
66_fish,FISH,227,FISH,66
67_flat,FLAT,1633,FLAT,67
68_flesh,FLESH,2615,FLESH OR MEAT,68
69_flour,FLOUR,1594,FLOUR,69
70_flower,FLOWER,239,FLOWER,70
71_fly,FLY,1441,FLY (MOVE THROUGH AIR),71
72_flyn,FLY (n),1504,FLY (INSECT),72
73_foot,FOOT,1301,FOOT,73
74_four,FOUR,1500,FOUR,74
75_frog,FROG,503,FROG,75
76_fruit,FRUIT,1507,FRUIT,76
77_full,FULL,1429,FULL,77
78_gather,GATHER,7,GATHER,78
79_girl,GIRL,1646,GIRL,79
80_give,GIVE,1447,GIVE,80
81_go,GO,695,GO,81
82_goup,GO_UP,705,GO UP (ASCEND),82
83_good,GOOD,1035,GOOD,83
84_grandfather,GRANDFATHER,1383,GRANDFATHER,84
85_grass,GRASS,606,GRASS,85
86_green,GREEN,2382,BLUE OR GREEN,86
87_grow,GROW,479,GROW,87
88_hand,HAND,1277,HAND,88
89_hair,HAIR,2648,HAIR (HEAD),89
90_hammock,HAMMOCK,2019,HAMMOCK,90
91_happy,HAPPY,1495,HAPPY,91
92_hawk,HAWK,307,HAWK,92
93_heal,HEAL,499,CURE,93
94_hearlisten,HEAR/LISTEN,3862,HEAR OR LISTEN,94
95_heart,HEART,1223,HEART,95
96_heavy,HEAVY,1210,HEAVY,96
97_hedgehog,HEDGEHOG,1797,HEDGEHOG,97
98_help,HELP,1897,HELP,98
99_hen,HEN,1318,CHICKEN,99
100_hide,HIDE,2486,HIDE,100
101_hit,HIT,1433,HIT,101
102_hole,HOLE,1667,HOLE,102
103_hot,HOT,1286,HOT,103
104_house,HOUSE,1252,HOUSE,104
105_howlermonkey,HOWLER_MONKEY,433,HOWLER MONKEY,105
106_husband,HUSBAND,1200,HUSBAND,106
107_jacarecaimancrocodile,JACARÉ/CAIMAN/CROCODILE,1857,CROCODILE,107
108_jaguar,JAGUAR,1250,JAGUAR,108
109_kill,KILL,1417,KILL,109
110_knee,KNEE,1371,KNEE,110
111_knife,KNIFE,1352,KNIFE,111
112_know,KNOW,3626,KNOW,112
113_lake,LAKE,624,LAKE,113
114_laugh,LAUGH,1355,LAUGH,114
115_leaf,LEAF,628,LEAF,115
116_learn,LEARN,504,LEARN,116
117_leg,LEG,1297,LEG,117
118_liver,LIVER,1224,LIVER,118
119_long,LONG,1203,LONG,119
120_lookat,LOOK_AT,1819,LOOK,120
121_looseones,LOOSE_oneS,423,GET LOST,121
122_louse,LOUSE,1392,LOUSE,122
123_man,MAN,1554,MAN,123
124_manioc,MANIOC,925,CASSAVA,124
125_many,MANY,1198,MANY,125
126_medicine,MEDICINE,1372,MEDICINE,126
127_monkey,MONKEY,1350,MONKEY,127
128_moon,MOON,1313,MOON,128
129_mountain,MOUNTAIN,639,MOUNTAIN,129
130_mosquito,MOSQUITO,1509,MOSQUITO,130
131_mother,MOTHER,1216,MOTHER,131
132_motherinlaw2,MOTHER_IN_LAW (2),2256,MOTHER-IN-LAW (OF WOMAN),132
133_moustache,MOUSTACHE,1165,MOUSTACHE,133
134_nailclaw,NAIL/CLAW,2128,CLAW OR NAIL,134
135_name,NAME,1405,NAME,135
136_neck,NECK,1333,NECK,136
137_nest,NEST,539,NEST,137
138_new,NEW,1231,NEW,138
139_night,NIGHT,1233,NIGHT,139
140_nose,NOSE,1221,NOSE,140
141_one,ONE,1493,ONE,141
142_othersome,OTHER_SOME,3863,OTHER OR SOME,142
143_paca,PACA,316,PACA,143
144_painhurt,PAIN/HURT,3864,HURT OR PAIN,144
145_parrot,PARROT,882,PARROT,145
146_path,PATH,2252,PATH,146
147_penis,PENIS,1222,PENIS,147
148_personhbsomeone,PERSON_HB_SOMEONE,683,PERSON,148
149_pierce,PIERCE,398,PIERCE,149
150_pineapple,PINEAPPLE,2440,PINEAPPLE,150
151_play,PLAY,1413,PLAY,151
152_porridge,PORRIDGE,3651,MUSH (FOOD),152
153_pumpkin,PUMPKIN,864,PUMPKIN,153
154_put,PUT,998,PUT,154
155_rain,RAIN,658,RAIN (PRECIPITATION),155
156_rat,RAT,1490,RAT,156
157_raw,RAW,1959,RAW,157
158_red,RED,156,RED,158
159_return,RETURN,581,COME BACK,159
160_ripe,RIPE,178,RIPE,160
161_river,RIVER,666,RIVER,161
162_root,ROOT,670,ROOT,162
163_rope,ROPE,1218,ROPE,163
164_round,ROUND,1395,ROUND,164
165_run,RUN,1519,RUN,165
166_saliva,SALIVA,1503,SALIVA,166
167_salt,SALT,1274,SALT,167
168_sand,SAND,671,SAND,168
