ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Mawe-1_all-1,,Mawe,1_all,t o r a n i a,t o r a n i a,t o r a n i a,,11987;464078,,,,
Mawe-2_arm-1,,Mawe,2_arm,m o p ɨ,m o p ɨ,m o p ɨ,,11987;464078,,,,
Mawe-3_arrow-1,,Mawe,3_arrow,m o r ɨ ʔ a,m o r ɨ ʔ a,m o r ɨ ʔ a,,11987;464078,,,,
Mawe-4_ash-1,,Mawe,4_ash,ɨ w ɨ r u p,ɨ w ɨ r u p,ɨ w ɨ r u p,,11987;464078,,,,
Mawe-5_axe-1,,Mawe,5_axe,ɨ w ɨ k a p,ɨ w ɨ k a p,ɨ w ɨ k a p,,11987;464078,,,,
Mawe-6_back-1,,Mawe,6_back,a p e,a p e,a p e,,11987;464078,,,,
Mawe-7_badevil-1,,Mawe,7_badevil,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,i n a kʷ a t ʔ i,,11987;464078,,,,
Mawe-8_bamboo-1,,Mawe,8_bamboo,a kʷ a r a,a kʷ a r a,a kʷ a r a,,11987;464078,,,,
Mawe-9_banana-1,,Mawe,9_banana,p a k u a,p a k u a,p a k u a,,11987;464078,,,,
Mawe-10_basket-1,,Mawe,10_basket,h ɨ t,h ɨ t,h ɨ t,,11987;464078,,,,
Mawe-11_bat-1,,Mawe,11_bat,h a k i ʔ i,h a k i ʔ i,h a k i ʔ i,,11987;464078,,,,
Mawe-12_bewrong-1,,Mawe,12_bewrong,a p a r a p,a p a r a p,a p a r a p,,11987;464078,,,,
Mawe-13_beans-1,,Mawe,13_beans,k u m a n a,k u m a n a,k u m a n a,,11987;464078,,,,
Mawe-15_belly-1,,Mawe,15_belly,p ɨ r u m ʔ a,p ɨ r u m ʔ a,p ɨ r u m ʔ a,,11987;464078,,,,
Mawe-16_break-1,,Mawe,16_break,w e j,w e j,w e j,,11987;464078,,,,
Mawe-17_big-1,,Mawe,17_big,w a t o,w a t o,w a t o,,11987;464078,,,,
Mawe-18_bird-1,,Mawe,18_bird,w ei t a,w ei t a,w ei t a,,11987;464078,,,,
Mawe-19_bite-1,,Mawe,19_bite,k a t u ʔ u,k a t u ʔ u,k a t u ʔ u,,11987;464078,,,,
Mawe-20_black-1,,Mawe,20_black,h u n,h u n,h u n,,11987;464078,,,,
Mawe-21_blow-1,,Mawe,21_blow,p e h u,p e h u,p e h u,,11987;464078,,,,
Mawe-22_bone-1,,Mawe,22_bone,k a ŋ,k a ŋ,k a ŋ,,11987;464078,,,,
Mawe-23_boy-1,,Mawe,23_boy,k u r u m,k u r u m,k u r u m,,11987;464078,,,,
Mawe-24_branch-1,,Mawe,24_branch,e ŋ a,e ŋ a,e ŋ a,,11987;464078,,,,
Mawe-25_breast-1,,Mawe,25_breast,n a m,n a m,n a m,,11987;464078,,,,
Mawe-26_breathe-1,,Mawe,26_breathe,p ɨ h u,p ɨ h u,p ɨ h u,,11987;464078,,,,
Mawe-27_burnintr-1,,Mawe,27_burnintr,a t i w u k,a t i w u k,a t i w u k,,11987;464078,,,,
Mawe-28_burntr-1,,Mawe,28_burntr,wu k,wu k,w u k,,11987;464078,,,,
Mawe-29_bury-1,,Mawe,29_bury,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,a t i ʔ a s ɨ p,,11987;464078,,,,
Mawe-30_bush-1,,Mawe,30_bush,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,ŋ g a ʔ a p ɨ,,11987;464078,,,,
Mawe-31_butterfly-1,,Mawe,31_butterfly,m o r o p e ʔ i,m o r o p e ʔ i,m o r o p e ʔ i,,11987;464078,,,,
Mawe-32_cair-1,,Mawe,32_cair,ʔ a t,ʔ a t,ʔ a t,,11987;464078,,,,
Mawe-33_canoe-1,,Mawe,33_canoe,ja r a,ja r a,j a r a,,11987;464078,,,,
Mawe-35_cloud-1,,Mawe,35_cloud,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,ɨ w ɨ h i ŋ,,11987;464078,,,,
Mawe-36_coati-1,,Mawe,36_coati,m u s ĩ,m u s ĩ,m u s ĩ,,11987;464078,,,,
Mawe-37_come-1,,Mawe,37_come,o t,o t,o t,,11987;464078,,,,
Mawe-38_comb-1,,Mawe,38_comb,k ɨ w a,k ɨ w a,k ɨ w a,,11987;464078,,,,
Mawe-39_corn-1,,Mawe,39_corn,a w a t i,a w a t i,a w a t i,,11987;464078,,,,
Mawe-40_cotton-1,,Mawe,40_cotton,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,a m õ k i u s u ʔ a p,,11987;464078,,,,
Mawe-41_cry-1,,Mawe,41_cry,w a k,w a k,w a k,,11987;464078,,,,
Mawe-42_cut-1,,Mawe,42_cut,a t i ʔ t e k,a t i ʔ t e k,a t i ʔ t e k,,11987;464078,,,,
Mawe-43_dance-1,,Mawe,43_dance,h a i r u,h a i r u,h a i r u,,11987;464078,,,,
Mawe-44_day-1,,Mawe,44_day,ʔ a t,ʔ a t,ʔ a t,,11987;464078,,,,
Mawe-45_defecate-1,,Mawe,45_defecate,h e p a i ʔ a,h e p a i ʔ a,h e p a i ʔ a,,11987;464078,,,,
Mawe-46_die-1,,Mawe,46_die,k u ʔ u r o,k u ʔ u r o,k u ʔ u r o,,11987;464078,,,,
Mawe-47_dirty-1,,Mawe,47_dirty,h a w i u,h a w i u,h a w i u,,11987;464078,,,,
Mawe-48_domake-1,,Mawe,48_domake,n u ŋ,n u ŋ,n u ŋ,,11987;464078,,,,
Mawe-50_dressup-1,,Mawe,50_dressup,s o k p e p a ŋ,s o k p e p a ŋ,s o k p e p a ŋ,,11987;464078,,,,
Mawe-51_dry-1,,Mawe,51_dry,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,,11987;464078,,,,
Mawe-52_drystate-1,,Mawe,52_drystate,ŋ a ŋ,ŋ a ŋ,ŋ a ŋ,,11987;464078,,,,
Mawe-53_earthland-1,,Mawe,53_earthland,ɨ i,ɨ i,ɨ i,,11987;464078,,,,
Mawe-55_enter-1,,Mawe,55_enter,e k e,e k e,e k e,,11987;464078,,,,
Mawe-56_eye-1,,Mawe,56_eye,e h a,e h a,e h a,,11987;464078,,,,
Mawe-58_far-1,,Mawe,58_far,p ɨ a,p ɨ a,p ɨ a,,11987;464078,,,,
Mawe-59_fatgrease-1,,Mawe,59_fatgrease,k a p,k a p,k a p,,11987;464078,,,,
Mawe-60_father-1,,Mawe,60_father,a p,a p,a p,,11987;464078,,,,
