,ALL,ARM,ARROW,ASH,AXE,BACK,BAD/EVIL,BAMBOO,BANANA,BASKET,BAT,BE_WRONG,BEANS,BEARD,BELLY,BREAK,BIG,BIRD,BITE,BLACK,BLOW,BONE,BOY,BRANCH,BREAST,BREATHE,BURN_intr,BURN_tr,BURY,BUSH,BUTTERFLY,CAIR,CANOE,CASHEW,CLOUD,COATI,COLD,COME,COMB,CORN,COTTON,CRICKET (zool),CRY,CUT,DANCE,DAY,DEFECATE,DIE,DIRTY,DO/MAKE,DRAW/PAINT,DRESS_UP,DRINK,DRY,DRY (state),EARTH/LAND,EAT,EGG,ENTER,EYE,FACE,FAR,FAT/GREASE,FATHER,FEAR,FINGER,FIRE,FIREFLY,FIREWOOD,FISH,FLAT,FLESH,FLOUR,FLOWER,FLY,FLY (n),FOOT,FOUR,FROG,FRUIT,FULL,GATHER,GIRL,GIVE,GO,GO_UP,GOOD,GRANDFATHER,GRAβ,GREEN,GROW,HAND,HAIR,HAMMOCK,HAPPY,HAWK,HEAL,HEAR/LISTEN,HEART,HEAVY,HEDGEHOG,HELP,HEN,HIDE,HIT,HOLE,HOT,HOUSE,HOWLER_MONKEY,HUSBAND,JACARÉ/CAIMAN/CROCODILE,JAGUAR,KILL,KNEE,KNIFE,KNOW,LAKE,LAUGH,LEAF,LEARN,LEG,LIE,LIVER,LONG,LOOK_AT,LOOSE_oneS,LOUSE,MAN,MANIOC,MANY,MEDICINE,MONKEY,MOON,MOUNTAIN,MOSQUITO,MOTHER,MOTHER_IN_LAW (2),MOULD,MOUSTACHE,NAIL/CLAW,NAME,NECK,NEST,NEW,NIGHT,NOSE,ONE,OTHER_SOME,PACA,PAIN/HURT,PARROT,PATH,PENIS,PERSON_HB_SOMEONE,PIERCE,PINEAPPLE,PLAY,PLAY (2) (CAUSE TO JUMP),PORRIDGE,PUMPKIN,PUT,RAIN,RAT,RAW,RED,RETURN,RIPE,RIVER,ROOT,ROPE,ROUND,RUN,SAD(NESS),SALIVA,SALT,SAND,SCARE,SEE,SEED,SEEK,SEND,SHARPEN,SHELL/BARK,SICK/ILL,SISTER,SIT,SLEEP,SMALL,SMOKE,SNAKE,SNORE,SON,SOUR/ACID,SPEAK,SPIDER,STAR,STINGRAY,STOMACH,STONE,STRONG,SUCK,SUN,SWEEP,SWEET,SWEET_POTATO,SWIMM,TAIL,TAPIR,TEACH,TELL/NARRATE,TERMINATE/FINISH,TERMITE,TESTICLES,THICK,THING,THREE,THORN,THUNDER,THROAT,TICK,TIE,TIRED,TOBACCO,TOMORROW,TONGUE,TREE,TURTLE,TWO,UGLY,UNCLE (MoBr),UNTIE,URINATE,VEIN,VOMIT,VULTURE,WALK,WANT,WASH,WASP,WATER,WE (excl),WE (incl),WET,WHITE,WIFE,WIND,WING,WING (2),WOMAN,WORM,YELLOW,YOU (sg)
MAWE,t o r a n i a,m o p ɨ,m o r ɨ ʔ a,ɨ w ɨ r u p, ɨ w ɨ k a p, a p e ,i n a kʷ a t ʔ i, a kʷ a r a ,p a k u a,h ɨ t,h a k i ʔ i, a p a r a p,k u m a n a,,p ɨ r u m ʔ a,w e j, w a t o ,w ei t a ,k a t u ʔ u, h u n ,p e h u, k a ŋ,k u r u m, e ŋ a , n a m , p ɨ h u ,a t i w u k,wu k , a t i ʔ a s ɨ p,ŋ g a ʔ a p ɨ ,m o r o p e ʔ i, ʔ a t , ja r a ,,ɨ w ɨ h i ŋ ,m u s ĩ,n a ʔ a k, o t , k ɨ w a , a w a t i, a m õ k i u s u ʔ a p,p o h i t ,w a k, a t i ʔ t e k ,h a i r u, ʔ a t ,h e p a i ʔ a,k u ʔ u r o,h a w i u,n u ŋ,,s o k p e p a ŋ,,ŋ a ŋ, ŋ a ŋ , ɨ i ,, u p i ʔ a, e k e, e h a ,,p ɨ a,k a p ,a p ,,m u ʔ u ɲ ã , a r j a,,, p i r a ,,p u ʔ i, u ʔ i, p o h ɨ t ,m o p ɨ ,w i n, p ɨ,t u k a w a ,w a ʔ a s a,i ʔ p ,h ɨ t, a t u n u ŋ,p i ʔ ã, a t u m, t o,a m,w a k u,a s e ʔ i,i ʔ a n a m, i h ɨ r ɨ p,t a ŋ,p o , a p , ĩ n i,w e p i t,h ɨ w i ,, ẽ t u p, w e ʔ ã , p o t ɨ j ,j̃ u ʔ i, p o w ɨ r o ,w a i p a k a,w e m i ŋ ,a h i k,, a k u p,ɨ a t,a w ɨ k ɨ,,j a k a r e, a w ɨ a t o ,a u k a ,m ɨ ʔ a k a ŋ ʔ a, k ɨ s e , kʷ a p,i h ɨ p ɨ h u a t,k ɨ r ɨ, o p ,,ʔ u p, ʔ a m , p ɨ ʔ a ,ɨ w o p, h a ʔ ā t ,, ŋ ɨ p ,i h a i ɲ a,,k a h a t o ,p o h a ŋ ,h a n u ʔ a n,w a t ɨ ,,w ã t i ʔ u ,t ɨ ,a t i t o z a ,,,m u ʔ u j̃ a ʔ a p e , e t ,h u t ʔ ɨ p,o k, p a k u p ,w ã t ɨ m , a m p ɨ ,w e n t u p,, p a ɨ, a t ɨ,a h u t , m o a p , a h i t ,m i t, s u k , n a n a,m a h a r a,p u n,m i ŋ k a ʔ u, j u r u m ũ,,a m a n ,p ɨ r ɨ k,i p ɨ r e , h u p ,a i p o k,o k t a ŋ,i h ɨ  , a p o ,h ai t ɨ,a w e r e p,p u t,a r ō t,kʷ i t u ʔ e, u k ɨ t ,,,, a ʔ ɨ j ,k a t ,p o ʔ o r o,, a p e,, n ɨ t , a p ɨ k , k e t ,h i t , h i ŋ,m o j,h õ h õ,m e mp ɨ t , e j̃ u ŋ ,h a j,,w a j k i r u, m e mp ɨ ,,n u,, s ɨ m , a t , ɨ w ɨ t i p , e ʔ ẽ ,u r i u r u,, u w a j p o ,w e w a t o, m u u ʔ e,e n o j, p a p ,ŋ u p i ʔ a,,i w a t o,,m ɨ e ʔ ɨ m,h u ,h u r u r e,,w e w a t,k ɨ t ɨ t, e r a,s u h u,m o ŋ k i ʔ i t e , ẽ k u,ʔ ɨ p ,w a w o r i,t ɨ p ɨ, k a h u ʔ i ,a m ũ,,w e h i,,, u r u w u, w ɨ r ɨ,k ɨ ʔ s a t ,,ŋ a p , ʔ ɨ ,,a i t o,a p u k, k ɨ t͡s i ŋ,,ɨ w ɨ t u,p e p o , a p ,h a r ɨ p o r i a, u w i ,k a ʔ a j, e n 
AWETI,m o m a t i,k ɨ w a,,,k ɨ ,,,,,m ã j ã k u,,,,,p ɨ l u p , k a, w a t u ,e p u z a, t u ʔ u,k i l  a w,p e t u, k a ŋ,k  a m i n o a t, a k ã , k a m ,,, a p ɨ,,,k u j u k u j u, ʔ a r ,m a ʔ ã p e,,,, j o ʔ ɨ g, u t ,ʔ a k ɨ w a p , a w a t i,,, e t a ʔ a, a k ɨ t͡s e , a ʐ ũ,,, m a j õ,,,k a t u k a,,,,, ɨ β e t e,, u p i ʔ a, e t͡s e, e t a , o w a,k o j p e,k a p ,u p ,,, a ʐ a,,, p i r a ,,j u j ã,, p o t ɨ t ,,t i n, p ɨ, m o k o ĩ m o k o ĩ,, ʔ a,,,,m o t o , h a,t e p,k a t u, a m ũ j,,,,p o , a p , i n ĩ,,m u z a k,, ẽ t u p, p o z i ʔ ã , p o t ɨ j ,,,,,, kʷ a t , a k u p, o k ,,m e n ,t o p e p ɨ r i t,t a w a t , k ɨ̃ j,, k ɨ t e , kʷ a p,ʔ ɨ w a t u,, o p ,,ʔ u p, ʔ a m ,, p u k u, m a ʔ ẽ , o p a t , k ɨ p ,,m a n i ʔ o k ,,p o t a ŋ ,k a ʔ i j ɨ t,t a t ɨ ,,,t ɨ ,,,,, e t ,t u r ʔ ɨ p,, m ɨ t a,i p ɨ t a k o , t ĩ,m o m o z o t͡s u,,, a t ɨ,, m e ,ʔ a á ,,p u k e,k a l a h a ŋ,,m o p o r ,,, j u ŋ ,a m ã n ,,,p i l a ŋ ,,,t ɨ  , a p o ,,,t a n ,t e ʔ i m o k a,, u k ɨ t ,,,t u p, a ʔ ɨ j , i k a ,m o t o t u k a t,, p e,a k u p ʔ a, n i ɨ t , a p ɨ k , t e t ,, t i ŋ,m o j,,m e mb ɨ t ,, t i ʔ i ŋ, i t ã ,,,,k ɨ t a ,,,kʷ a t,, e ʔ ẽ ,t e ʐ ɨ k ,, u w a j,,,e j õ j, p a p ,k u p i ʔ a,,,k a t,m o j t a r i k a,,,,, a t͡ʃ ĩ ,,p e , k o ʔ e m , ẽ k u,ʔ ɨ p ,t a w o z ɨ,m o k õ j ,,t u t ɨ t ,z a p,k a l u k ,, e ʔ e n , ɨ ʐ ɨ w u,e k o,kʷ a k u p,,, ʔ ɨ ,a ʐ o ,t͡s a n e,,t i ŋ, a t ɨ ,ɨ w ɨ t ,p e p o , a p ,k u j ã ,, t u w , e n 
Asurini,p a p ,t͡s ɨ w a,o ʔ ɨ w,a t a t͡ʃ i ŋ,s ɨ , a p e ,,,s a t a,m a n a k o a ,,,k o m a n a,, e w e ŋ a, m o p e n , w i s e ,w ɨ r a , o ʔ o, p i h o n ,m o n ɨ ŋ, k ɨ ŋ,k o n o m i,,, ɨ p ɨ t o h e m , k a t͡s , a p ɨ, o t ɨ m, k a ʔ a,, a ʔ n,ɨ h a r ,,ɨ w a ŋ ,, r o ʔ ɨ , o n , k ɨ w a w , a w a tʃ i, a m ɨ n i s o ,,t͡ʃ aa ʔ a , k ɨ s i ,p a r a h a j, a r a , p o s i , m a n o,, a p o, p i n i m , m o n e m , ʔ o ,, o w ɨ n,ʔ ɨ w ɨ ,k a r o, o p i ʔ a, k e, e h a ,,kʷ e ,,o p e, k ɨ ɨ s e ,k o a p e ,t a t a,,t͡ʃ e p e ʔ a , p i r a ,k a r a t͡s, a ʔ a, o ʔ i, p o t ɨ r a ,w e w e ,m e r o , p ɨ, i r o ŋ a t o e t e, i t o i,i β , ɨ n e h e m,,,m a n a , h a, eo p i n ,k a t o, n a m o s,s o o w i a,h u w ɨ ,,,ʔ a β , o p a , o r ɨ, kʷ a n o ,m o k a t o, e n o m, s ɨ ʔ o , p o h o j ,,,w ɨ r a p a s e,, n o p o ,, a k o m, a ŋ,a k ɨ k ɨ,m e n ,s a k a r e,s a w a r ,s o k a ,, k ɨ h e , kʷ a h a m,ɨ e w e g o h o a, p o k a , a w ,, n e t ɨ m o t͡ʃ i ʔ a , p o ʔ o m , p ɨ ʔ a , p o k o, m a ʔ e ,, k ɨ w , k o m a ʔ e,m a n i ʔ a ŋ , e t a ,p o h a ŋ ,k a ʔ i ,s a h ɨ ,,t͡ʃ a t͡ʃ i ʔ o ,h ɨ ,a t ɨ a h ɨ ,,,k o a p e , e r ,s o r , h i t ɨ ,ʔ ɨ a h o ,i p ɨ t o n , s i,p i t e ʔ i, a m o,k a r a w a r o h o, a h ɨ,a s o r o , p e ,, a w a ,k o t o ŋ , n a n a,s e m o a r a j ,m a m a n ,k a w i s a ,, n o ŋ ,a m ɨ n ,,,p i r o ŋ ,s e w ɨ n ,,p a r a n o, h a p a ,ɨ n ɨ m b a , a p o ʔ a,s o n ,, e n ɨ ,j o k ɨ r ɨ, ʔ ɨ t͡ʃ ,, e s a , a ʔ ɨ s ,m o m ɨ r o,, o i m e ,, a h ɨ,k ɨ p ɨ ʔ ɨ r a , a p ɨ ŋ , k e n , ʔ i ,t a t a s i ŋ,m a s,,m e m ɨ̃ r a,, s e ʔ e ŋ,, s a h ɨ t a t a ,,, i t a ,,,k a r a h ɨ , p e h i n ,,,w e w o t͡ʃ, w a s,t a p i ʔ i r , m o ʔ e,kʷ a w e ʔ e ŋ, p a p ,k o p i ʔ i,,, m a ʔ e,n a ʔ i r o i h i,s o o w a,t u p ɨ̃ ,,,a m a ŋ a, k a n i ʔ o,p e t ɨ m ,o s e ʔ i w e,k o a ,ʔ ɨ w ,,m o k o j ,a w a ɨ p a m,t o t ɨ r a,,k o r o ŋ ,,, o r o w o, a t a,p o t a n ,m o h o ŋ,, ʔ ɨ ,o r e ,t͡s a n e,a k ɨ m ,t͡ʃ i ŋ, a t ɨ ,ɨ w ɨ t o,p e p a , a b a ,k o s o , e w o ʔ i,, e n e 
Parakanã,,t͡ʃ ɨ β ,o ʔ ɨ β,a t a p ɨ w e r,t͡ʃ ɨ , a p ẽ ,,t a a kʷ a r ,t͡ʃ a t a,m a n a k ũ,a n ɨ r a,,k o m a n a ʔ i , e n ɨ w a h a w ,p ɨ r o ʔ o,, o h o ,β ɨ r a ,, p i õ n ,p ɨ , k ɨ g,k o n õ m i, a k o , k o m , p ɨ t o ʔ o , k a i p a m, a p ɨ, t ɨ , k a ʔ a,p ɨ k a β ,,ɨ ʔ a r ,t͡ʃ a w a r a k o i r o n, a t a t͡ʃ i g ,kʷ a t͡ʃ i, r o ʔ ɨ , o r ,ʔ a w a p o k a t o t a w a, a β a t͡ʃ i, a m ɨ n ɨ t͡ʃ o ,ɨ k ɨ t͡ʃ o ,t͡ʃ a ʔ a , k ɨ t͡ʃ i ,p o r a h a t͡ʃ, a r a , p o t͡ʃ ɨ , m a n o, p i o n, a p o,m o p i n i m , m o n e m ,ʔ ɨ o ,m o t o β ɨ m, a p i n, ɨ β ɨ ,k a r o, o p i ʔ a, k e, e h a ,a t ɨ p ɨ,,k a w ,o β , k ɨ ɨ t͡ʃ e ,k o a k ɨ g,t a t ã,p i r a k a,t͡ʃ e p e a β , p i r a , p e β , a ʔ a, o ʔ i, p o t ɨ r ,β e β e ,m e r o β , p ɨ, i r o g a t o e t e,k o r o r o, ʔ a, ɨ n e h e m,m o ɨ r ɨ g, k o n o m i ,m a n a , h a, o p i n ,k a t o, a m o i g e ,a m a r o p e ʔ a w, k ɨ r ,t͡ʃ e m o t o w i,p a , a β , o p a β , o r i β ,m ɨ kʷ a t͡ʃ i g,m o k a ʔ e, e n oi , t͡ʃ ɨ ʔ o , p o h o i ,, p o t ɨ β o ,β ɨ r a p a t͡ʃ e, m i m , n o p o , kʷ a r , a k o m, o g ,a k ɨ k ɨ,m e n ,dʒ a k a r e,t͡ʃ a w a r a ,t͡ʃ o k a ,e t͡ʃ a m e β, k ɨ ʔ e ,a kʷ a h a m, ɨ p a β , p o k a ,, t͡ʃ e m o ʔ e,i k u ɲ a, p o ʔ o m , p ɨ ʔ a , p o k o, m a ʔ e , k a t͡ʃ ɨ m , k ɨ, k u m a ʔ e,m a n ɨ a g , e t e ,m o ʔ a g ,k a ʔ i ,t͡ʃ a h ɨ ,ɨ β ɨ t ɨ r,t͡ʃ a t͡ʃ i ʔ o ,h ɨ ,o s o ,, a m o t a h a w,, e r ,t͡ʃ o r , a ɨ t ɨ ,,ɨ p ɨ t o n , t͡ʃ i, o r e p e t͡ʃ o w e, a m o t e ,k a r o w a r , a h ɨ,a n a k o , p e e , a k o n i,,k o t o g ,t͡ʃ o p a r a p a r a,t͡ʃ e m o a r a i j ,t͡ʃ e m o a r a i,k a β o n i , t͡ʃ o r o m o, t͡ʃ o g ,a m ɨ n ,t o ɨ m ɨ,,p ɨ t o g ,k o β e n i o β e,m o a p ɨ p,p a r a n õ, a p a ,e m a o, a p o ʔ a,t͡ʃ o n ,e h a i t e, e n ɨ ,t͡ʃ o k ɨ r , ɨ t͡ʃ i g ,m a a n a, e t͡ʃ a n, a ʔ ɨ n i ,m o m ɨ r o, m a n a ,a kʷ a ʔ a g,p i r e r , a h ɨ β a ʔ e, e n ɨ r , a p ɨ g , k e n ,p i p i ,t a t a t͡ʃ i n,m a t͡ʃ i a ,k e r a m o ,m e m i r a, a i w a ʔ e, t͡ʃ e ʔ e g,t͡ʃ a n o , t͡ʃ a i t a t a ,t͡ʃ a β e β i r ,a β , i t a , a t o, p ɨ t e n ,kʷ a r a h ɨ a, p e h i n ,t͡ʃ ɨ t ɨ g ,t͡ʃ ɨ t ɨ g ,t͡ʃ e m o p i p a, β a t͡ʃ a ,t a p i ʔ i r , m o ʔ e,m o m e ʔ o, p a w ,, a p i ʔ a,p a o h o, m a ʔ e,h e ʔ ɨ t͡ʃ ɨo,t͡ʃ o β ,t o p o a,a m a ʔ ɨ β,t͡ʃ a t e ʔ o g ,a m a g a, k a n i ʔ o,p e t ɨ m o p i ʔ a r,o t͡ʃ e ʔ i w e,,ʔ ɨ β ,,m o k o j , p i ʔ e i ʔ ɨ m,k ɨ β ɨ r a h ɨ,m o h i n,k o r o g ,w ɨ o m, β e ʔ e n , o r o w o, a t a,p o t a n ,p o h e i,k a w , ʔ ɨ ,o e ,t͡ʃ a n e,a k ɨ m ,t͡ʃ i g,t͡ʃ i r a t ɨ g,ɨ β ɨ t o,p e p a , a w ,k o t͡ʃ u , e β o ʔ i,t a r a w e w a t͡ʃ i g, e n é 
Suruí,p a m ,s ɨ w a,u ʔ ɨ β,,s ɨ r ɨ a , a p e ,,,,,s a w i r i r e,,, e n ɨ w a h a w a,, p e n , u h u ,w ɨ r a , o ʔ o, p ɨ s u n ,, k õ ŋ,k o n o m i, o k o ,, a p ɨ t u r e n,, a p ɨ,, k a ʔ a,, ʔ a r ,ɨ g a r ,a k a s u ,t a t a t͡ʃ i r o n,, r u ʔ i , u r ,, a w a t͡ʃ i, a m o n i s u a ,i k ɨ s u h u ,s o ʔ o ,,p u r a h a j, a r a ,,,, a p o,,,,,, ɨ w ɨ ,, u p i ʔ a, k e, e h a ,,,,,,,t a t a,,, p i r a , p e m , o ʔ o,m a n i m e, p u t ɨ r ,,, p ɨ,,k u r u r u,i ʔ a, ɨ n e h e m,,,, a,s eu p i r ,, a m o j,,,,p o ,ʔ a w ,t e kʷ a w a,,,, i n u , s i ʔ o ,,kʷ a n u,m u p o i r o ,w ɨ r a ʔ ɨ r a,, n u p o ,, a k u w, o g ,,,,s a w a r ,,, k ɨ s e ,, i p u r e ,t͡ʃ i m e r i a, a r a,, j e t ɨ m a k a p e n a,, p ɨ ʔ a , p u k u,,, k ɨ β , k u m a ʔ e,m a n i ʔ o g ,,,k a ʔ i ,s a h ɨ ,,s a t i ʔ u ,s ɨ ,ɑ̃ ʃ a ,, o m u t a w a , u p u h o p e , e r ,s u r ,,,i p ɨ t u n , t͡ʃ i,, a m u t e h e,k a r u a r u h u, a h ɨ,a s u r u , p e ,,,p u g,,s e m o a r a i ,,,j a k o r o n a,,a m õ n , a n u s a ,,p i r a ŋ ,s e w ɨ r ,,p o r a n o, o p o ,i n i m o , a p u ʔ a,s o n ,i s a m o m o r,, i t i ŋ w oj,,,, o ʔ o j ,h u m ɨ r u,,,,, e m i r a,,,,t a t a t͡ʃ i ŋ,m o j,k e r a m u r,m e m ɨ̃ , a j,,s a n u , s a h ɨ t a t a ,s a w e w ɨ r a,,,p u k o ŋ, p ɨ t e r ,ʔ a r a ,, e ʔ e ,s e t ɨ g ,, w a s,t a p i ʔ i r ,,,,k u p i ʔ i, a m e ʔ a,p u r u ŋ ,, t a p ɨ t a ,,t u p o ,,k a t eu g , kʷ a r ,,p e t ɨ m ,,,ʔ ɨ w a ,,m u k u j ,,t u t ɨ r ,w a r a w,k u r u k a w, a s ɨ g ,, u r u w u, w a t a,,,k a w ,,,,a k ɨ̃ m ,t͡ʃ ɨ ŋ, e m i r e k o ,,,,k u s o ,,, n e 
Tapirapé,p ã w ,t͡ʃ i w ã,o ʔ ɨ p,,t͡ʃ ɨ , ã p e , ɑ̃ i p,,p a ã k o ʔ ã,ɨ r o ,a n ɨ r ã, ɑ̃ w ɨ i ʃ e,k o m a n ã,, e w e k , m u p e n ,o ,w ɨ r ã h i, o ʔ o,o n ,p e t͡ʃ o, k ɨ g,k o n o m ĩ,, k ɨ m , ʃ e p ɨ t o w e r o t, k ã j , ã p ɨ,, kãʔã ,p ɨ k ã p ɨ k ã w a, ʔ a r , j ã r a ,a h a t͡ʃ o ,a m ɨ n ã i p ,kʷ ã t͡ʃ i,,t͡ʃ a r ,,h ɑ̃ w ɑ̃ ʃ i, a m a n i t͡ʃ o ,,t͡ʃ a j ʔ a, k ɨ t͡ʃ i ,m a a n a n, ʔ a n ,, m a n õ, k ɨ ʔ ã , a p o,m o o n ,,ʔ ɨ ʔ o ,,, ɨ w ɨ ,k ã r o, o p i ʔ ã, k e, ẽ ã ,,m õ,k ã m ,o p , k ɨ ɨ t͡ʃ e ,m a ã k ɨ g, ã t ã,,, p i r ã , p e w , a ʔ a, o ʔ i, p a t ɨ t ,w e w e ,, m ɨ, u r u n d ɨ,, i h ã,,w ɨ, k o t ã t ã j ,m a ɨ̃ j, h a, o p i t ,k ã t o, a m õ j,t͡ʃ õ,,,m a ,ʔ a m , e k a w ã, a r ɨ r ɨ p ,t͡ʃ ã p ã k a n i,, i n o p, t͡ʃ ɨ̃ ʔ ɨ̃ , p o o j ,, p ɨ r õ ,w ɨ r ã k ã j , m i m , n o p ɨ̃ ,, ã k o p, a k a n,,m e n ,t͡ʃ ã k ã r e,t͡ʃ ã w ã r ,t͡ʃ o k ã ,k a n ã w ã , k ɨ t͡ʃ e , k a a m,ʔ ɨ o p a m , p o k ã , a p , t͡ʃ e m a ʔ e, t ɨ t ɨ m a ,, m ɨ ʔ ã , p o k o,i t͡ʃ ã k, k ã t͡ʃ ɨ m , k ɨ p ,a k o m a ʔ e,m a n i ʔ a k , e t e ,m a h ɨ g ,k ã ʔ i ,t͡ʃ ã ɨ ,,, ɨ , r i h o ,,ʔ a m a t a m ,m ɨ ã p e , e t ,t͡ʃ o t , a i t ɨ ,ʔ ɨ ã o ,ɨ p ɨ t o n , t͡ʃ ĩ, ã t͡ʃ e p e,,, t͡ʃ e,ɑ̃ ʃ o r o , ã p e , a k e n , ã w ã ,k o t o k ,,t͡ʃ e m a ã r ɨ̃ j ,m a m a t ,, k o r o w ã,,a m ɨ n , a n o t͡ʃ ã ,,p i r ɨ g ,t͡ʃ e w ɨ t ,,ʔ ɨ  , ,i n i m b o , ã p a j ã, ɨ j ,t͡ʃ i n ɨ k, e n ɨ ,ʃ o k ɨ r ,,m a a n a, i t͡ʃ ã k, a ʔ ɨ̃ j ,m a m ɨ r õ, m a n a , ɨ i m e h e ,,,k ɨ p ɨ h ɨ t , ã p ɨ k , k e t ,,,m a j,,m e m ɨ r ,, t͡ʃ e ʔ e g,t͡ʃ a n o , t͡ʃ ã ɨ t ã t ã ʔ i ,t͡ʃ ã w e w ɨ t ,, i t ã ,, p ɨ t e t ,kʷ ã r, p e i t ,h ẽ ʔ e ,t͡ʃ e t ɨ k ,ʔ ɨ ɨ t ã, o w ã j,t ã p i ʔ i t , m a ʔ e,k o m e ʔ o, p ã w ,,,, m a ʔ e,m a ã p ɨ t ,t͡ʃ õ ,,,t ã t e w o k , w a n , k a n e ʔ õ,p e t ɨ m ,a t͡ʃ e i w e,k õ,h ɨ w ɨ r ã,t͡ʃ ã w a t͡ʃ io,m o k õ j ,,t o t ɨ t ,k a n a m,,,,h ɨ r ɨ w o, ã t ã,p a t a n , p a t o k ã,k a m , h ɨ ,a r e ,t͡ʃ a n e,ã k ɨ m ,s i ŋ, ã t ɨ ,ɨ w ɨ t o,p e p a ,,k o t͡ʃ ɨ̃ , e w a ,,t͡ʃ a n e 
Tembé,p a w ,z i w a,u ʔ ɨ w,t a n i m u k ,z ɨ , a p e ,,t a kʷ a r ,p a k o ,p a n a k u,a n i r a,z a w ɨ ,k u m a n a,,,, u h u ,w i r a , t i ʔ u, p i h u n ,p e z u, k a ŋ,k u n u m i, ə k ə , k a m , p ɨ t u , k a j , a p i, t ɨ m, k a ʔ a, p a n a m ,,ij i a r i ,a k a z u ,ɨ w a k u n,kʷ a t i,, u r , k ɨ w a w , a w a t i, a m a n i z u ,i k i z u ,z a j ʔ o, k ɨ t ɨ ,p o r a t͡s e j, a r , k a ʔ a , m a n o, k ɨ ʔ a , a p o, p i n i m , m u n e h e w,, t͡ʃ i n i ŋ, k a ŋ , ɨ w ɨ ,, u p i ʔ a, i k e, e h a , a w a, m ɨ r ɨ,k a w e r ,u , k ɨ z e ,kʷ ə ,t a t a, w a ŋ,, p i r a , p e w , o o, u ʔ i, p u t i r ,w e w e w,m e r u , p ɨ,,k u r u r u, ʔ a, ɨ n e h e m,m o n o h o k, k u z ə t ə ʔ i ,m o n ó ,, a p i r ,k a t u, a m u j,,, k a kʷ a ʔ a w,p o , a w , k ɨ h a w , u r ɨ w ,z a w a t o , kʷ e r a w , e n u , z ə ʔ ə , p u h ɨ j ,kʷ a n u, p ɨ t ɨ w ə ,z a p u k a i , m i m , n u p ə , kʷ a r , a k u ,ʔ o k ,,m e n ,z a k a r e,z a w a r ,z u k ə , e n ɨ p ɨ ʔ ə, k ɨ h e , kʷ a w, ɨ p a w , p u k a , o w ,, e t ɨ m a , ʔ a m , p ɨ ʔ a , p u k u, m a ʔ ẽ , k a z ɨ m , k ɨ w ,,m a n i ʔ o k , e t a ,m u h a ŋ ,k a ʔ i ,z a h ɨ ,,z a t i ʔ u ,h ɨ ,, ə w e , a m u t a w ,p o p e , e r ,, h j t ɨ , p i a h u , p ɨ t u n , t i,p i t ə í , a m ó, p a k , a h ɨ,a z u r u , p e , a kʷ ə j , a w á ,k u t u k , n ə n ə,z e m u z a r a ,m o m o r ,, z o r o m o, n o ,a m a n , a ŋ u z a , z ɨ w ɨ r ,p i r a ŋ ,z e w ɨ r , a z u ,i   , h a p o ,i n i m o , a p u ʔ a,z a n ,z e m o m i k, e n ɨ ,z u k ɨ r ,,m o ŋ i z e, e s á k, ə ʔ ɨ̃ j , e k a r , m o n o , a j m e , p e, a h ɨ, e n i r a, a p ɨ k , k e r ,m i r i ,t a t a t i ŋ,m o j,k e r a m o ,m e m ɨ r , a j, z e ʔ e ŋ,z a n u , z a h ɨ t a t a ,z a w e w ɨ r ,, i t a , ə t ə, p ɨ t e r ,kʷ a r a h ɨ ,t ɨ p i r ,t e t e k a t u,z e t ɨ k ,, u w a j,t a p i ʔ i r , m u ʔ e,m u m e ʔ u, p a w ,k u p i ʔ i, a p i ʔ a, a n a m  , m a ʔ e,,t͡s u ,a m a n s u n a ,,z a t e h u k , a p ɨ t ɨ , k a n e ʔ o,p e t ɨ m ,p ɨ h a w é,, i w i r ,p a r a ʔ ɨ w p e,m u k u j ,,t u t ɨ r ,z u r a w,k a r u k , a z u k ,, u r u ʔ u, w a t a,p u t a r ,,k a w , ʔ ɨ ,u r e ,z a n é,ə k ɨ m ,t ĩ ŋ, e m i r e k o ,,p e p o , a w ,k u z ə ,, z u, r e 
